0,1,2,3
3.52,5.79,1.69,17.55
4.41,23.12,3.5,18.95
3.81,2.71,2.17,50.74
2.29,9.59,1.91,22.39
5.56,1.17,1.14,7.66
1.14,0.82,2,130.14
0.88,1.67,1.66,15
5.61,4.21,2.6,16.82
2.57,3.65,1.5,15.37
1.35,1328.09,2.72,25.75
3.17,1.01,1.24,14.9
3.54,1.53,1.45,16.41
6.28,2.45,2.28,21.54
4.55,6.3,2.83,19.03
2.89,0.88,0.96,13.45
2.27,3.39,1.61,20.8
2.11,0.83,1.94,12.52
0.54,6.78,1.31,26.53
3.22,2.39,3.69,15.95
0.44,2.37,2.57,16.33
1.77,1.35,4.14,67.77
2.91,6.49,1.79,31.07
3.41,2.46,0.66,25.91
2.96,3.84,1.48,18.35
1.58,2.96,2.78,16.32
2.57,1.42,4.25,26.73
2.68,4.81,3.19,25.71
1.03,1.26,3.63,17.57
0.3,1.52,5.14,12.5
0.98,3.68,0.91,19.79
1.795,3.394,1.31,16.731
1.81,3.42,1.3,16.84
1.93,5.71,1.67,20.17
1.94,3.12,3.58,27.31
3.17,4.51,2.95,7.46
0.32,1.17,4.18,5.62
2.92,1.25,1.31,12.16
1.91,46.31,2.33,22.88
2.6367,5.0951,1.96,21.3353
1.82,7.88,3.89,12.68
2.7,2.44,3.14,14.92
4.92,5.05,2.53,22.29
3.58,1.44,2.17,14.2
3.93,1.79,2.8,30.48
3.2831,1.2578,2.56,64.8868
4.66,8.3,3.31,31.44
4.11,6.33,2.47,40.79
1.73,55.96,2.53,16.68
0.97,11.8,2.16,23.85
12.16,24.02,0.69,33.16
2.56,2.59,1.74,39.47
4.05,2.41,2.08,29.78
4.15,11.47,2.22,25.61
7.35,11.62,3.3,10
3.53,7.83,1.84,25.29
4.31,4.33,2.98,40.19
2.29,1.21,1.77,13.43
6.35,7.95,2.14,32.12
4.04,2.58,2.77,17.24
2.78,7.69,1.24,23.11
5.52,3.87,1.51,22.88
2.57,12.95,2.8,24.34
3.78,3.4,3.83,28.14
3.41,4.2,3.17,16.01
3.61,2.68,4.01,18.81
1.99,4.66,1.91,21.52
3.85,15.08,1.7,29.06
2.16,1.87,4.91,17.67
9.22,12.35,4.36,27.72
1.37,1.8,5.4,17.75
0.42,2.67,4.66,10.91
2.58,3.02,1.62,19.04
5.83,7.55,2.44,21.82
0.95,4.27,1.62,23.92
4.34,4.47,2.22,20.93
1.56,180.45,2.99,28.71
4.47,2.079,2.14,15.724
1.71,3.57,2.28,19.22
13.15,8.79,0.68,48.37
1.44,7.56,5.3,14.6
0.72,2.76,2.03,19.97
3.28,1.56,2.76,13.75
0.46,3.08,2.67,17.33
1.63,1.94,3.79,33.91
0.39,0.38,1.12,4.2
0.56,1.88,1.5,18.13
11.96,1.76,5.72,13.61
